               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028121,            0.012967,                   0,             0.98328,                   1,               0.995,             0.69634,           0.0092208,           0.0032189,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.027157,            0.012817,                   0,             0.98387,                   1,               0.995,             0.80267,           0.0075208,           0.0031859,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.026517,            0.013824,                   0,              0.9846,                   1,               0.995,             0.79575,           0.0077952,           0.0030118,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026673,            0.011275,                   0,             0.98531,                   1,               0.995,             0.78675,           0.0071077,           0.0028868,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.030162,             0.01189,                   0,             0.98587,                   1,               0.995,             0.78668,           0.0068859,           0.0027186,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.024436,            0.012032,                   0,              0.9865,                   1,               0.995,             0.81586,           0.0058328,           0.0027241,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.023937,            0.012138,                   0,             0.98605,                   1,               0.995,             0.84071,            0.006268,           0.0027255,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.026896,            0.010885,                   0,             0.98567,                   1,               0.995,             0.83442,           0.0056475,            0.002708,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.025526,            0.010476,                   0,             0.98639,                   1,               0.995,             0.83441,           0.0056231,           0.0026864,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022386,            0.011741,                   0,             0.98692,                   1,               0.995,             0.81843,           0.0052856,           0.0026807,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.025581,            0.012997,                   0,             0.98733,                   1,               0.995,             0.81843,            0.004951,           0.0026364,                   0,            0.000496,            0.000496,            0.000496
